가디	55	70	45	70	50	60
가디안	68	65	65	125	115	80
가로막구리	93	90	101	60	81	95
가보리	50	70	100	40	40	30
가이오가	100	100	90	150	140	90
가재군	43	80	65	50	35	35
가재장군	63	120	85	90	55	55
갈가부기	90	115	90	48	68	74
갈모매	40	30	30	55	30	85
갑주무사	75	125	140	60	90	40
강챙이 (5세대까지)	90	85	95	70	90	70
강챙이 (6세대부터)	90	95	95	70	90	70
강철톤	75	85	200	55	65	30
개구마르	41	56	40	62	44	71
개굴닌자	72	95	67	103	71	122
개굴반장	54	63	52	83	56	97
개무소	45	45	35	20	30	20
갱도라	60	90	140	50	50	40
갸라도스	95	125	79	60	100	81
거대코뿌리	115	140	130	55	55	40
거북손데스	72	92	115	54	86	68
거북손손	42	52	67	39	56	50
거북왕	79	83	100	85	105	78
게노세크트	71	120	95	120	95	99
게을로	60	60	60	35	35	30
게을킹	150	160	100	95	65	100
겟핸보숭	75	100	66	60	66	115
견고라스	82	121	119	69	59	71
고고트	123	100	62	97	81	68
고디모아젤	70	55	95	95	110	65
고디보미	60	45	70	75	85	55
고디탱	45	30	50	55	65	45
고라파덕	50	52	48	65	50	55
고래왕	170	90	45	90	45	60
고래왕자	130	70	35	70	35	60
고릴타	100	125	90	60	70	85
고오스	30	35	30	100	35	80
고우스트	45	50	45	115	55	95
고지	75	100	110	45	55	65
고지 (알로라의 모습)	75	100	120	25	65	65
곤율거니	65	90	115	45	115	58
곤율랭	50	75	70	35	70	48
골덕	80	82	78	95	80	85
골루그	89	124	80	55	80	55
골뱃	75	80	70	65	75	90
골비람	59	74	50	35	50	35
과사삭벌레	40	40	80	40	40	20
괴력몬	90	130	80	65	85	55
구구	40	45	40	35	35	56
귀뚤뚜기	37	25	41	25	41	25
귀뚤톡크	77	85	51	55	51	65
그라에나	70	90	70	60	60	70
그란돈	100	150	140	100	90	90
그랑블루	90	120	75	60	60	45
근육몬	80	100	70	50	60	45
글라이거	65	75	105	35	65	85
글라이온	75	95	125	45	75	95
글레이시아	65	60	110	130	95	65
기가이어스 (5세대까지)	85	135	130	60	70	25
기가이어스 (6세대부터)	85	135	130	60	80	25
기기기어르	60	100	115	70	85	90
기기어르	60	80	95	70	85	50
기라티나 (어나더폼)	150	100	120	100	120	90
기라티나 (오리진폼)	150	120	100	120	100	90
기어르	40	55	70	45	60	30
깜까미	50	75	75	65	65	50
깜놀버슬	69	55	45	55	55	15
깜눈크	50	72	35	35	35	65
깜지곰	60	80	50	50	50	40
깝질무	76	48	48	57	62	34
깨물부기	50	64	50	38	38	44
깨봉이	50	50	62	40	62	65
깨비드릴조	65	90	65	61	61	100
깨비물거미	68	70	92	50	132	42
깨비참	40	60	30	31	31	70
껍질몬	1	90	45	30	30	40
꼬렛	30	56	35	25	35	72
꼬렛 (알로라의 모습)	30	56	35	25	35	72
꼬리선	35	46	34	35	45	20
꼬링크	45	65	34	40	34	45
꼬마돌	40	80	100	30	30	20
꼬마돌 (알로라의 모습)	40	80	100	30	30	20
꼬모카	40	40	60	40	60	10
꼬몽울	40	30	35	50	70	55
꼬부기	44	48	65	50	64	43
꼬시레	25	35	40	20	30	80
꼬지모	70	100	115	30	65	30
꼬지보리	62	44	50	44	50	55
꼬지지	50	80	95	10	45	10
꼬치조	61	123	60	60	50	136
꼴깍몬	70	43	53	43	53	40
꽁어름	55	69	85	32	35	28
꾸꾸리	50	50	40	30	30	50
꿀꺽몬	100	73	83	73	83	55
끼리동	72	80	49	40	49	40
나루림	82	80	86	85	75	72
나룸퍼프	62	48	66	59	57	49
나메일	70	94	50	94	50	66
나목령	43	70	48	50	60	38
나몰빼미	68	55	55	50	50	42
나무돌이	50	65	45	85	65	95
나무지기	40	45	35	65	55	70
나무킹	70	85	65	105	85	120
나시	95	95	85	125	65	55
나시 (알로라의 모습)	95	105	85	125	75	45
나옹	40	45	35	40	40	90
나옹 (가라르의 모습)	50	65	55	40	40	40
나옹 (알로라의 모습)	40	35	35	50	40	90
나옹마	49	55	42	42	37	85
나이킹	70	110	100	50	60	50
나인테일	73	76	75	81	100	100
나인테일 (알로라의 모습)	73	67	75	81	100	109
날쌩마	65	100	70	80	80	105
날쌩마 (가라르의 모습)	65	100	70	80	80	105
내던숭이	100	120	90	40	60	80
내루미	90	55	75	60	75	30
내룸벨트	110	85	95	80	95	50
냄새꼬	60	65	70	85	75	40
냐스퍼	62	48	54	63	60	68
냐오닉스	74	48	76	83	81	104
냐오불	45	65	40	60	40	70
냐오히트	65	85	50	80	50	90
너트령	74	94	131	54	116	20
네오라이트	69	69	76	69	86	91
네오비트	65	47	55	73	75	85
네이티	40	50	45	70	45	70
네이티오	65	75	70	95	70	95
네크로즈마	97	107	101	127	89	79
네크로즈마 (새벽의 날개)	97	113	109	157	127	77
네크로즈마 (울트라네크로즈마)	97	167	97	167	97	129
네크로즈마 (황혼의 갈기)	97	157	127	113	109	77
노고치	100	70	70	65	65	45
노공룡	84	71	43	71	43	48
노라키	73	95	62	85	65	85
노보청	105	140	95	55	65	45
누겔레온	65	60	55	95	55	90
누니머기	30	25	35	45	30	20
누리공	50	54	54	66	56	40
누리레느	80	74	74	126	116	60
누오	95	85	85	65	65	35
눈꼬마	50	50	50	50	50	50
눈설왕	90	92	75	92	85	60
눈쓰개	60	62	50	62	60	40
눈여아	70	80	70	80	70	110
늑골라	74	108	133	83	65	32
늪짱이	70	85	70	60	70	50
니드런♀	55	47	52	40	40	41
니드런♂	46	57	40	40	40	50
니드리나	70	62	67	55	55	56
니드리노	61	72	57	55	55	65
니드퀸 (5세대까지)	90	82	87	75	85	76
니드퀸 (6세대부터)	90	92	87	75	85	76
니드킹 (5세대까지)	81	92	77	85	75	85
니드킹 (6세대부터)	81	102	77	85	75	85
니로우	60	85	42	85	42	91
님피아	95	65	65	110	130	60
다꼬리	85	76	64	45	55	90
다부니	103	60	86	60	86	50
다크라이	70	90	90	135	90	125
다크펫	64	115	65	83	63	65
다태우지네	100	115	65	90	90	65
다탱구	90	100	60	90	60	80
닥트리오	35	80	50	50	70	120
닥트리오 (알로라의 모습)	35	100	60	50	70	110
단굴	55	75	85	25	25	15
단단지	20	10	230	10	230	5
단데기	50	20	55	25	25	30
단지래플	110	85	80	100	80	30
단칼빙	45	80	100	35	37	28
달막화	70	90	45	15	45	50
달막화 (가라르의 모습)	70	90	45	15	45	50
달무리나	52	40	48	40	48	62
달코퀸	72	120	98	50	98	72
달콤아	42	30	38	30	38	32
대검귀	95	100	85	108	70	70
대굴레오	70	40	50	55	50	25
대로트	85	110	76	65	82	56
대여르	65	100	100	70	60	75
대왕끼리동	122	130	69	80	69	30
대짱이	100	110	90	85	90	60
대코파스	60	55	145	75	150	40
대포무노	75	105	75	105	75	45
더스트나	80	95	82	60	82	75
더시마사리	50	63	152	53	142	35
던지미	120	100	85	30	85	45
덩쿠리	65	55	115	100	40	60
덩쿠림보	100	100	125	110	50	50
데구리	55	95	115	45	45	35
데구리 (알로라의 모습)	55	95	115	45	45	35
데기라스	70	84	70	65	70	51
데덴네	67	58	57	81	67	101
데스니칸	58	50	145	95	105	30
데스마스	38	30	85	55	65	30
데스마스 (가라르의 모습)	38	55	85	30	65	30
데스판	58	95	145	50	105	30
데인차	40	45	45	74	54	50
델빌	45	60	30	80	50	65
델케티	70	65	65	55	55	70
도나리	70	65	60	90	75	90
도롱마담 (모래땅도롱)	60	79	105	59	85	36
도롱마담 (슈레도롱)	60	69	95	69	95	36
도롱마담 (초목도롱)	60	59	85	79	105	36
도롱충이	40	29	45	29	45	36
도치마론	56	61	65	48	45	38
도치보구	61	78	95	56	58	57
도토링	40	40	50	30	30	30
독개굴	83	106	65	86	65	85
독침붕 (5세대까지)	65	80	40	45	80	75
독침붕 (6세대부터)	65	90	40	45	80	75
독케일	60	50	70	50	90	65
독파리	80	70	65	80	120	100
돈크로우	100	125	52	105	52	71
돌살이	50	65	85	35	35	55
돌헨진	100	125	135	20	20	70
동미러	57	24	86	24	86	23
동챙이	50	50	40	50	40	64
동탁군	67	89	116	79	116	33
두개도스	67	125	40	30	30	58
두까비	75	65	55	65	55	69
두더류	60	85	40	30	45	68
두두	35	85	45	35	35	75
두랄루돈	70	95	115	120	50	85
두루지벌레	25	20	20	25	45	45
두르보	45	53	70	40	60	42
두르쿤	55	63	90	50	80	42
두빅굴 (5세대까지)	105	85	75	85	75	74
두빅굴 (6세대부터)	105	95	75	85	75	74
두코	55	45	50	45	65	80
두트리오	60	110	70	60	60	100
두파팡	53	127	53	151	79	107
둔타	60	60	40	65	45	35
둥실라이드	150	80	44	90	54	80
듀란	65	40	50	125	60	30
드라꼰	28	60	30	40	30	82
드래런치	68	80	50	60	50	102
드래캄	65	75	90	97	123	44
드래펄트	88	120	75	100	75	142
드래피온	70	90	110	60	75	95
드레디어	70	60	75	110	75	90
디그다	10	55	25	35	45	95
디그다 (알로라의 모습)	10	55	30	35	45	90
디아루가	100	120	120	150	100	90
디안시	50	100	150	100	150	50
디헤드	72	85	70	65	70	58
딜리버드	45	55	45	65	45	75
딥상어동	58	70	45	40	45	42
따라큐	55	90	80	50	105	96
딱구리 (5세대까지)	80	110	130	55	65	45
딱구리 (6세대부터)	80	120	130	55	65	45
딱구리 (알로라의 모습)	80	120	130	55	65	45
딱정곤	50	75	45	40	45	60
딱충이	45	25	50	25	25	35
때때무노	50	68	60	50	50	32
또가스	40	65	95	60	45	35
또도가스	65	90	120	85	70	60
또도가스 (가라르의 모습)	65	90	120	85	70	60
또르박쥐	55	45	43	55	43	72
뚜꾸리	65	63	45	45	45	45
뚜벅쵸	45	50	55	75	65	30
라란티스	70	105	90	80	90	45
라이츄 (5세대까지)	60	90	55	90	80	100
라이츄 (6세대부터)	60	90	55	90	80	110
라이츄 (알로라의 모습)	60	85	50	95	85	110
라이코	90	85	75	115	100	115
라티아스	80	80	90	110	130	110
라티오스	80	90	80	130	110	110
라프라스	130	85	80	85	95	60
라플레시아 (5세대까지)	75	80	85	100	90	50
라플레시아 (6세대부터)	75	80	85	110	90	50
란쿨루스	110	65	75	125	85	30
랄토스	28	25	25	45	35	40
랑딸랑	45	30	50	65	50	45
래비풋	65	86	60	55	60	94
랜드로스 (영물폼)	89	145	90	105	80	91
랜드로스 (화신폼)	89	125	90	115	80	101
랜턴	125	58	58	76	76	67
램펄드	97	165	60	65	50	58
램프라	60	40	60	95	60	55
럭시오	60	85	49	60	49	60
럭키	250	5	5	35	105	50
레돔벌레	50	35	80	50	90	30
레디바	40	20	30	40	80	55
레디안	55	35	50	55	110	85
레시라무	100	120	100	150	120	90
레어코일	50	60	95	120	70	70
레오꼬	62	50	58	73	54	72
